" Nom Ville ";"MAJ   ";" Code Postal ";" Code INSEE ";"Code Région";" Latitude ";" Longitude ";" Eloignement "
"Givrycourt";"GIVRYCOURT";57670;57248;41;"48.916667";"6.916667";"0"
"Gizaucourt";"GIZAUCOURT";51800;51274;21;"49.05";"4.783333";"0"
"Gizay";"GIZAY";86340;86105;11;"46.433333";"0.416667";"0"
"Gizeux";"GIZEUX";37340;37112;24;"47.4";"0.2";"0"
"Gizia";"GIZIA";39190;39255;43;"46.516667";"5.433333";"0"
"Gizy";"GIZY";2350;2346;22;"49.6";"3.766667";"0"
"Gières";"GIERES";38610;38179;82;"45.183333";"5.783333";"0"
"Gièvres";"GIEVRES";41130;41097;24;"47.266667";"1.666667";"0"
"Giéville";"GIEVILLE";50160;50202;25;"49.016667";"-0.983333";"0"
"Glageon";"GLAGEON";59132;59261;31;"50.05";"4.066667";"0"
"Glaignes";"GLAIGNES";60129;60274;22;"49.266667";"2.85";"0"
"Glainans";"GLAINANS";25340;25272;43;"47.383333";"6.583333";"0"
"Glaine-Montaigut";"GLAINE MONTAIGUT";63160;63168;83;"45.75";"3.4";"0"
"Glamondans";"GLAMONDANS";25360;25273;43;"47.266667";"6.283333";"0"
"Gland";"GLAND";2400;2347;22;"49.05";"3.466667";"0"
"Gland";"GLAND";89740;89191;11;"47.816667";"4.216667";"0"
"Glandage";"GLANDAGE";26410;26142;82;"44.683333";"5.6";"0"
"Glandon";"GLANDON";87500;87071;72;"45.483333";"1.216667";"0"
"Glanes";"GLANES";46130;46124;73;"44.916667";"1.883333";"0"
"Glanges";"GLANGES";87380;87072;72;"45.666667";"1.45";"0"
"Glannes";"GLANNES";51300;51275;21;"48.716667";"4.533333";"0"
"Glanon";"GLANON";21250;21301;26;"47.033333";"5.1";"0"
"Glanville";"GLANVILLE";14950;14302;25;"49.283333";"0.066667";"0"
"Glatens";"GLATENS";82500;82070;11;"43.883333";"0.916667";"0"
"Glatigny";"GLATIGNY";60650;60275;22;"49.5";"1.9";"0"
"Glatigny";"GLATIGNY";57530;57249;41;"49.15";"6.333333";"0"
"Glatigny";"GLATIGNY";50250;50204;25;"49.283333";"-1.633333";"0"
"Glay";"GLAY";69850;69903;82;"45.866667";"4.6";"0"
"Glay";"GLAY";25310;25274;43;"47.4";"6.883333";"0"
"Gleizé";"GLEIZE";69400;69092;82;"45.983333";"4.683333";"0"
"Glennes";"GLENNES";2160;2348;22;"49.35";"3.716667";"0"
"Glicourt";"GLICOURT";76630;76301;23;"49.933333";"1.25";"0"
"Glisolles";"GLISOLLES";27190;27287;23;"48.983333";"1.016667";"0"
"Glisy";"GLISY";80440;80379;11;"49.866667";"2.4";"0"
"Glomel";"GLOMEL";22110;22061;53;"48.216667";"-3.4";"0"
"Glonville";"GLONVILLE";54122;54229;41;"48.466667";"6.683333";"0"
"Glorianes";"GLORIANES";66320;66086;91;"42.583333";"2.566667";"0"
"Glos-la-Ferrière";"GLOS LA FERRIERE";61550;61191;25;"48.85";"0.6";"0"
"Glos-sur-Risle";"GLOS SUR RISLE";27290;27288;23;"49.266667";"0.683333";"0"
"Gluiras";"GLUIRAS";7190;7096;82;"44.85";"4.55";"0"
"Glun";"GLUN";7300;7097;82;"45.016667";"4.833333";"0"
"Glère";"GLERE";25190;25275;43;"47.35";"7.0";"0"
"Glénac";"GLENAC";56200;56064;53;"47.733333";"-2.133333";"0"
"Glénat";"GLENAT";15150;15076;83;"44.9";"2.183333";"0"
"Glénay";"GLENAY";79330;79134;74;"46.866667";"-0.25";"0"
"Glénic";"GLENIC";23380;23092;74;"46.216667";"1.933333";"0"
"Glénouze";"GLENOUZE";86200;86106;11;"47.0";"-0.016667";"0"
"Goas";"GOAS";82500;82071;11;"43.816667";"0.95";"0"
"Godenvillers";"GODENVILLERS";60420;60276;22;"49.583333";"2.55";"0"
"Goderville";"GODERVILLE";76110;76302;23;"49.65";"0.366667";"0"
"Godewaersvelde";"GODEWAERSVELDE";59270;59262;31;"50.8";"2.65";"0"
"Godisson";"GODISSON";61240;61192;25;"48.683333";"0.25";"0"
"Godoncourt";"GODONCOURT";88410;88208;11;"48.0";"5.916667";"0"
"Goerlingen";"GOERLINGEN";67320;67159;73;"48.8";"7.083333";"0"
"Goersdorf";"GOERSDORF";67360;67160;73;"48.95";"7.766667";"0"
"Goetzenbruck";"GOETZENBRUCK";57620;57250;41;"48.983333";"7.383333";"0"
"Goeulzin";"GOEULZIN";59169;59263;31;"50.316667";"3.1";"0"
"Gogney";"GOGNEY";54450;54230;41;"48.616667";"6.866667";"0"
"Gognies-Chaussée";"GOGNIES CHAUSSEE";59600;59264;31;"50.333333";"3.95";"0"
"Gohier";"GOHIER";49320;49152;52;"47.4";"-0.366667";"0"
"Gohory";"GOHORY";28160;28182;0;"0.0";"0.0";"0"
"Gohory";"GOHORY";28160;28182;24;"48.166667";"1.233333";"0"
